t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
60,8014,6516,1498,9477,2420,0.25536,328,344,360,72,1,0,0,0,63.97,0.05,2,122,63.97,0,0,0,0
61,8024,6516,1508,9765,2097,0.21475,312,336,352,1312,1,1,0,0,63.93,0.25,5,121,63.92,1537,0,0,0
62,8021,6516,1505,8588,2302,0.26805,320,344,352,56,1,0,0,0,63.98,0.27,4,121,63.97,0,0,0,0
63,8063,6552,1511,10099,2569,0.25438,320,344,352,236,1,0,0,0,63.97,0.39,3,121,63.97,0,0,0,0
64,8009,6506,1503,10265,2934,0.28583,320,344,360,1376,1,1,0,0,63.97,0.23,4,120,63.97,1734,0,0,0
65,8041,6535,1506,10084,2520,0.24990,320,344,352,66,1,0,0,0,63.97,0.16,3,120,63.97,0,0,0,0
66,8012,6512,1500,9856,2389,0.24239,328,344,352,58,1,0,0,0,63.97,0.11,3,120,63.97,0,0,0,0
67,8012,6507,1505,8614,2442,0.28349,336,352,360,64,1,0,0,0,63.97,0.01,1,120,63.97,0,0,0,0
68,8009,6507,1502,8336,1897,0.22757,328,352,360,96,1,1,0,0,63.97,0.27,5,119,63.97,1170,0,0,0
69,8091,6576,1515,9827,2418,0.24606,328,352,360,63,1,0,0,0,63.97,0.54,3,119,63.97,0,0,0,0
70,8083,6566,1517,10225,2627,0.25692,320,344,360,272,1,0,0,0,63.96,0.22,1,119,63.96,0,0,0,0
71,8012,6509,1503,9562,2304,0.24095,328,352,360,1440,1,1,0,0,63.61,0.49,5,118,63.62,2009,0,0,0
72,8029,6524,1505,9789,2561,0.26162,328,352,360,68,1,0,0,0,63.96,0.51,3,118,63.96,0,0,0,0
73,8011,6508,1503,9743,2875,0.29508,336,352,368,66,1,0,0,0,63.96,0.26,3,118,63.96,0,0,0,0
74,8015,6513,1502,8953,2452,0.27387,320,344,360,74,1,1,0,0,63.96,0.35,5,116,63.96,1209,0,0,0
75,8035,6527,1508,9348,1605,0.17169,336,352,360,68,1,0,0,0,63.96,0.18,3,116,63.96,0,0,0,0
76,8009,6507,1502,9488,1875,0.19762,336,352,360,66,1,0,0,0,63.96,0.31,2,116,63.96,0,0,0,0
77,8013,6512,1501,8171,2113,0.25860,336,352,360,63,1,0,0,0,63.96,0.18,1,116,63.96,0,0,0,0
78,8013,6515,1498,8544,2013,0.23560,320,344,360,2688,1,1,0,0,59.91,0.27,5,115,59.92,857,0,0,0
79,8046,6536,1510,9399,1969,0.20949,320,352,360,61,1,0,0,0,63.96,0.13,4,115,63.96,0,0,0,0
80,8011,6508,1503,9415,2348,0.24939,336,352,360,62,1,0,0,0,63.96,0.13,3,115,63.96,0,0,0,0
81,8010,6505,1505,8465,2108,0.24903,336,352,360,61,1,0,0,0,63.96,0.21,1,115,63.96,0,0,0,0
82,8025,6525,1500,8470,1906,0.22503,328,352,360,1280,1,1,0,0,57.79,0.05,5,114,57.79,978,0,0,0
83,8025,6517,1508,9437,1908,0.20218,320,344,360,2016,1,0,1,0,63.96,0.31,5,115,63.96,0,0,0,0
84,8012,6509,1503,9929,2434,0.24514,336,352,376,55,1,0,0,0,63.97,0.06,1,115,63.97,0,0,0,0
85,8016,6515,1501,9651,2225,0.23055,336,352,368,63,1,0,0,0,63.97,0.00,0,115,63.97,0,0,0,0
86,8030,6523,1507,8670,2249,0.25940,336,352,368,2752,1,1,0,0,63.98,0.22,4,114,63.98,493,0,0,0
87,8029,6526,1503,9455,1968,0.20814,320,344,360,1024,1,1,0,0,63.96,0.08,3,123,63.96,1732,0,0,0
88,8005,6501,1504,8886,2438,0.27436,320,352,368,60,1,0,0,0,63.97,0.04,1,123,63.97,0,0,0,0
89,8030,6526,1504,10097,2692,0.26661,336,352,368,66,1,0,0,0,63.97,0.00,0,123,63.97,0,0,0,0
90,8012,6509,1503,8565,2279,0.26608,336,352,368,57,1,0,0,0,63.98,0.00,0,123,63.98,0,0,0,0
91,8011,6512,1499,9530,1958,0.20546,320,352,368,1760,1,1,0,0,63.97,0.10,4,122,63.97,1063,0,0,0
92,8056,6541,1515,9749,2292,0.23510,328,352,368,64,1,0,0,0,63.97,0.00,0,122,63.97,0,0,0,0
93,8010,6509,1501,9095,2342,0.25750,336,352,368,64,1,0,0,0,63.97,0.12,2,122,63.97,0,0,0,0
